"","Variable","Position","Label","Measurement Level","Role","Column Width","Alignment","Print Format","Write Format"
"1","RESPID",4,"RESPONDENT ID (RANDOM)","Scale","Input",8,"Right","F12","F12"
"2","SD_GENDER",213,"GESCHLECHT","Nominal","Input",8,"Right","F12","F12"
"3","SD_BIRTHYEAR",214,"GEBURTSJAHR","Scale","Input",8,"Right","F8","F8"
"4","SD_EDU",215,"HOECHSTER SCHUL-/BILDUNGSABSCHLUSS","Nominal","Input",8,"Right","F40","F40"
"5","SD_BULA",216,"BUNDESLAND","Nominal","Input",8,"Right","F29","F29"
"6","SD_HH_ADULTS",218,"HAUSHALT: ANZAHL ERWACHSENE PERSONEN","Nominal","Input",8,"Right","F8","F8"
"7","SD_HH_TEENS",219,"HAUSHALT: ANZAHL TEENAGER 15-17 Jahre","Nominal","Input",8,"Right","F8","F8"
"8","SD_HH_CHILD14",220,"HAUSHALT: ANZAHL KINDER 6-14 JAHRE","Nominal","Input",8,"Right","F8","F8"
"9","SD_HH_CHILD5",221,"HAUSHALT: ANZAHL KINDER 3-5 JAHRE","Nominal","Input",8,"Right","F8","F8"
"10","SD_HH_CHILD2",222,"HAUSHALT: ANZAHL KINDER 0-2 JAHRE","Nominal","Input",8,"Right","F8","F8"
"11","SD_HH_PARTNER",223,"HAUSHALT: LEBENSGEFAEHRTE/IN","Nominal","Input",8,"Right","F13","F13"
"12","SD_HH_OLDERFAM",224,"HAUSHALT: AELTERE FAMILIENMITGLIEDER","Nominal","Input",8,"Right","F13","F13"
"13","SD_HH_OUTERFAM",225,"HAUSHALT: AUSSERFAMILIAERE WOHNGEMEINSCHAFT","Nominal","Input",8,"Right","F13","F13"
"14","SD_HH_CHILD18",226,"HAUSHALT: KINDER UEBER 18 JAHRE","Nominal","Input",8,"Right","F13","F13"
"15","SD_EMPLSTATUS_FEB2020",228,"ERWERBSTAETIGKEIT IM FEBRUAR 2020","Nominal","Input",8,"Right","F40","F40"
"16","SD_WORKHOURS_FEB2020",230,"ARBEITSSTUNDEN: NORMALE WOCHE IM FEBRUAR 2020","Scale","Input",8,"Right","F8","F8"
"17","SD_HHINCOME_FEB2020",237,"HAUSHALTEINKOMMEN: FEBRUAR 2020","Nominal","Input",8,"Right","F26","F26"
"18","SD_HOME_SQM",238,"QUADRATMETER WOHNUNG","Scale","Input",8,"Right","F8","F8"
"19","SD_ACCESS_BALCONY",239,"ZUGANG PRIVATE FREIFLAECHE: BALKON","Nominal","Input",8,"Right","F13","F13"
"20","SD_ACCESS_GARDEN",240,"ZUGANG PRIVATE FREIFLAECHE: GARTEN","Nominal","Input",8,"Right","F13","F13"
"21","SD_BORN_AUSTRIA",243,"GEBURTSLAND OESTERREICH","Nominal","Input",8,"Right","F12","F12"
"22","SD_MIGR_BACKGR",244,"ELTERN NICHT IN OESTERREICH GEBOREN?","Nominal","Input",8,"Right","F12","F12"
"23","SD_HOMEOWNER",246,"EIGENTUM: HAUS/WOHNUNG, IN DER MAN LEBT","Nominal","Input",8,"Right","F12","F12"
"24","W1_Q15",265,"Gesundheitszustand","Nominal","Input",8,"Right","F17","F17"
"25","W1_Q17",266,"Corona-Diagnose: Respondent","Nominal","Input",8,"Right","F40","F40"
"26","W1_Q25A1",277,"Depressivitaet: ruhig und gelassen","Nominal","Input",8,"Right","F18","F18"
"27","W1_Q25A2",278,"Depressivitaet: einsam","Nominal","Input",8,"Right","F18","F18"
"28","W1_Q25A3",279,"Depressivitaet: aergerlich","Nominal","Input",8,"Right","F18","F18"
"29","W1_Q25A4",280,"Depressivitaet: so niedergeschlagen","Nominal","Input",8,"Right","F18","F18"
"30","W1_Q25A5",281,"Depressivitaet: gluecklich","Nominal","Input",8,"Right","F18","F18"
"31","W1_Q25A6",282,"Depressivitaet: sehr nervoes","Nominal","Input",8,"Right","F18","F18"
"32","W1_Q25A7",283,"Depressivitaet: aengstlich","Nominal","Input",8,"Right","F18","F18"
"33","W1_Q25A8",284,"Depressivitaet: bedrueckt und traurig","Nominal","Input",8,"Right","F18","F18"
"34","W1_Q25A9",285,"Depressivitaet: voller Energie","Nominal","Input",8,"Right","F18","F18"
"35","W1_Q26A1",286,"Zuhause verlassen: Arbeit","Nominal","Input",8,"Right","F18","F18"
"36","W1_Q26A2",287,"Zuhause verlassen: Sport","Nominal","Input",8,"Right","F18","F18"
"37","W1_Q26A3",288,"Zuhause verlassen: Freunde oder Verwandte treffen","Nominal","Input",8,"Right","F18","F18"
"38","W1_Q26A5",290,"Zuhause verlassen: Essen einkaufen","Nominal","Input",8,"Right","F18","F18"
"39","W1_Q26A6",291,"Zuhause verlassen: Haustier ausfuehren","Nominal","Input",8,"Right","F18","F18"
"40","W1_Q29A2",300,"Vertrauen: Polizei","Nominal","Input",8,"Right","F29","F29"
"41","W1_Q29A3",301,"Vertrauen: Parlament","Nominal","Input",8,"Right","F29","F29"
"42","W1_Q29A4",302,"Vertrauen: Gesundheitswesen","Nominal","Input",8,"Right","F29","F29"
"43","W1_Q29A5",303,"Vertrauen: Bundesregierung","Nominal","Input",8,"Right","F29","F29"
"44","W1_Q29A6",304,"Vertrauen: Bundesheer","Nominal","Input",8,"Right","F29","F29"
"45","W1_Q31",312,"Demokratiezufriedenheit: Oesterreich","Nominal","Input",8,"Right","F20","F20"
"46","W1_Q36A1",325,"Arbeitsstunden: Jetzt pro Woche","Scale","Input",8,"Right","F8","F8"
"47","W1_Q40A1",326,"Aenderung berufliche Situation: Home-Office","Nominal","Input",8,"Right","F13","F13"
"48","W1_Q45",337,"Aktuelles Haushaltseinkommen","Nominal","Input",8,"Right","F26","F26"
"49","W1_Q53A1",346,"Mediennutzung: Kronen Zeitung oder www.krone.at","Nominal","Input",8,"Right","F21","F21"
"50","W1_Q53A2",347,"Mediennutzung: Der Standard oder derstandard.at","Nominal","Input",8,"Right","F21","F21"
"51","W1_Q53A3",348,"Mediennutzung: Die Presse oder diepresse.com","Nominal","Input",8,"Right","F21","F21"
"52","W1_Q53A4",349,"Mediennutzung: Oesterreich oder oe24.at","Nominal","Input",8,"Right","F21","F21"
"53","W1_Q53A5",350,"Mediennutzung: Kurier oder kurier.at","Nominal","Input",8,"Right","F21","F21"
"54","W1_Q53A6",351,"Mediennutzung: Salzburger Nachrichten oder salzburg.at","Nominal","Input",8,"Right","F21","F21"
"55","W1_Q53A7",352,"Mediennutzung: Sonstige oesterreichische Tageszeitungen","Nominal","Input",8,"Right","F21","F21"
"56","W1_Q54A1",353,"Mediennutzung: ORF (Nachrichten)","Nominal","Input",8,"Right","F21","F21"
"57","W1_Q54A2",354,"Mediennutzung: Privatfernsehen (Nachrichten)","Nominal","Input",8,"Right","F21","F21"
"58","W1_Q55A1",355,"Soziale Medien: Facebook","Nominal","Input",8,"Right","F21","F21"
"59","W1_Q55A2",356,"Soziale Medien: Twitter","Nominal","Input",8,"Right","F21","F21"
"60","W1_Q55A3",357,"Soziale Medien: Instagram","Nominal","Input",8,"Right","F21","F21"
"61","W1_Q55A4",358,"Soziale Medien: Youtube","Nominal","Input",8,"Right","F21","F21"
"62","W1_Q55A5",359,"Soziale Medien: WhatsApp","Nominal","Input",8,"Right","F21","F21"
"63","W1_Q56A1",360,"Soziale Medien Aktivitaet: Postings zu Corona anderer lesen","Nominal","Input",8,"Right","F21","F21"
"64","W1_Q56A2",361,"Soziale Medien Aktivitaet: Postings liken, teilen oder retweeten","Nominal","Input",8,"Right","F21","F21"
"65","W1_Q56A3",362,"Soziale Medien Aktivitaet: selber Postings zu Corona verfassen","Nominal","Input",8,"Right","F21","F21"
"66","W1_Q57",363,"Risikobereitschaft","Nominal","Input",8,"Right","F20","F20"
"67","W1_Q58A1",364,"Psychologie: habe Leben selbst in der Hand","Nominal","Input",8,"Right","F27","F27"
"68","W1_Q58A2",365,"Psychologie: Belohnung durch Anstrengung","Nominal","Input",8,"Right","F27","F27"
"69","W1_Q58A3",366,"Psychologie: Fremdbestimmung","Nominal","Input",8,"Right","F27","F27"
"70","W1_Q58A4",367,"Psychologie: Schicksal","Nominal","Input",8,"Right","F27","F27"
"71","W1_Q64",368,"Lebenszufriedenheit","Nominal","Input",8,"Right","F25","F25"
